frame_idx,reward,TPS,NTL,c1,c2,c3,c4,c5,c6,c7,c8
1,0.048556656475545086,1503.5900913848109,1.7621124517908744,1,6,8,50,100,100,60,6
2,-0.4723616401770928,1468.6528449859109,1.8077418015097795,1,6,8,50,100,100,60,6
3,-0.706904677783629,1454.4171176422153,1.8072481965530192,1,6,8,70,100,100,60,6
4,-0.9644309254021571,1440.2608241233988,1.8303023737341695,1,6,5,70,100,100,60,6
5,-0.6949606450084016,1454.3197655494287,1.791777173896813,1,6,5,70,100,100,60,6
6,-0.34120770273582846,1475.9509107064587,1.7728990782025063,1,6,5,70,100,100,80,6
7,-1.1567442755836832,1431.4480443856664,1.8197909087601862,1,6,5,70,50,100,80,6
8,-1.364734701156894,1419.8692902919743,1.8348779732486822,1,6,5,70,50,100,80,6
9,-1.2132942427653555,1426.5537060220556,1.8296848965825183,1,6,5,50,50,100,80,6
10,-0.6237402831041987,1458.0342622800686,1.8020347671216475,1,6,5,30,50,100,80,6
11,-0.6679966804352344,1456.3191639551287,1.7855878564190002,1,6,5,50,50,100,80,6
12,-0.5262534910000383,1464.5070035167564,1.748027441481428,1,6,5,30,50,100,80,6
13,-0.1788790881110325,1486.943570101066,1.7804280508334493,1,6,5,30,50,100,100,6
14,-0.261763098442705,1481.5705952139795,1.752827588182572,1,6,5,30,100,100,100,6
15,-0.3623483058741785,1475.0229590478334,1.780107908091239,1,6,5,30,100,100,100,6
16,-0.21946833169823957,1484.2617671916548,1.732450304059504,1,6,5,30,50,100,100,6
17,-0.21678489716738397,1484.5353230270625,1.7484289415303291,1,6,2,30,50,100,100,6
18,-0.239141987002654,1483.0410702067943,1.7649044762874726,1,6,2,30,50,100,100,6
19,-0.3119004408397385,1478.258331437792,1.7513735027514612,1,6,5,30,50,100,100,6
20,0.07675960627437775,1505.5499391896033,1.718194228990943,1,6,5,30,50,100,80,6
21,-0.2237855525262275,1484.2742869869735,1.7435780122920124,1,6,5,30,50,100,100,6
22,-0.10691525924593767,1492.1443176744306,1.7617454291906331,1,6,5,30,50,100,100,6
23,0.10839876892933367,1507.8403735076788,1.7248698006193848,1,6,5,30,50,100,100,6
24,3.1525821003515673,1645.783316206005,1.7740750035445265,1,6,5,30,50,300,100,6
25,2.0561105939158533,1613.9596214557755,1.8121689301855266,1,6,5,30,50,300,100,3
26,2.8208734508600215,1641.3913470408231,1.8062983537479063,1,8,5,30,50,300,100,3
27,4.261897004629672,1690.0470210342846,1.8353560071722141,1,8,5,30,50,300,100,3
28,2.855013111179709,1647.3275113260079,1.8137162569084895,1,8,5,30,50,300,80,3
29,3.194590789482111,1656.5579590898242,1.7864869548602906,5,8,5,30,50,300,80,3
30,3.7587616306353135,1675.7364350446514,1.8987761994446215,5,8,5,30,50,300,60,3
31,2.151545316395298,1619.4307338617327,1.8176222659890493,1,8,5,30,50,300,60,3
32,0.5221349617647766,1536.7619137609931,1.7182376770152505,1,8,5,30,50,100,60,3
33,0.12306913472506183,1509.1218767032165,1.7138362951445998,1,8,5,30,100,100,60,3
34,0.445758080433983,1529.980065711113,1.6882295124641304,1,10,5,30,100,100,60,3
35,3.0394212750781664,1643.5337169602788,1.7415381345477172,1,10,5,30,100,300,60,3
36,3.921243243808014,1679.877521151576,1.773388859856232,1,10,5,30,100,300,80,3
37,1.4493824103691089,1588.7100320331494,1.8648259460367511,1,10,5,30,100,500,80,3
38,1.9534988594925289,1606.8233719829175,1.8717345873845603,1,10,5,30,100,500,80,3
39,1.6606582708070152,1595.2272917963755,1.8907117127535635,1,10,5,30,100,500,80,3
40,1.3732291734028763,1581.652416865,1.8396021990806324,1,10,5,30,100,500,80,3
41,2.1156228267824164,1613.0133522077751,1.8741126874427656,1,10,2,30,100,500,80,3
42,0.5453637802932406,1535.7024835517325,1.7364225331413576,1,6,8,30,100,100,60,3
43,0.25134956947819426,1517.99210201662,1.714367549749954,1,6,8,30,100,100,60,3
44,3.8697407697957207,1668.898325098193,1.7914023328779878,1,6,8,30,100,300,60,3
45,3.064937375132261,1653.4862043971862,1.7545263228877899,5,6,8,30,100,300,60,3
46,3.0674345210490697,1652.5807210094927,1.7941201503036497,5,4,8,30,100,300,60,3
47,2.76573660145355,1641.7846474101773,1.8053416999379603,5,4,11,30,100,300,60,3
48,3.943759697415746,1680.4439687715128,1.7433380765946844,5,6,11,30,100,300,60,3
49,3.269600080285309,1661.309063008859,1.7664512278785842,5,6,14,30,100,300,60,3
50,4.090219498643821,1686.3941095968403,1.8052124209016005,5,6,17,30,100,300,60,3
51,3.408243029731425,1666.3950100210993,1.6895088315928601,5,6,14,30,100,300,60,3
52,2.924153570353438,1648.3515613244558,1.8296901279410156,5,6,17,30,100,300,60,3
53,3.0991482848761405,1653.348153884332,1.7828880715485356,5,6,20,30,100,300,60,3
54,4.123132664073544,1686.79513831829,1.7650933442560228,5,6,20,50,100,300,60,3
55,3.4295961603697607,1667.1369162916244,1.7165029804139778,5,6,20,50,100,300,60,3
56,3.815446520531674,1678.2938484208469,1.7339108934033922,5,6,20,50,100,300,80,3
57,4.003565589606534,1684.9954571309693,1.7849013784339012,5,4,20,50,100,300,80,3
58,3.022040931942564,1653.004706590653,1.802242921671987,1,4,20,50,100,300,80,3
59,3.5574622973154995,1669.0215746132442,1.765321021454464,1,4,20,50,50,300,80,3
60,2.6061531909995685,1636.8631709579113,1.7647167331282876,1,2,20,50,50,300,80,3
61,1.7507494585768464,1600.5695334807472,1.7875875499303724,1,2,20,50,50,500,80,3
62,1.9740263251794188,1608.2691464235472,1.8158808304233947,5,2,20,50,50,500,80,3
63,1.8168466070997618,1602.0661182157921,1.89402997672382,5,2,20,70,50,500,80,3
64,0.9643129742283305,1561.5650738314223,1.7850607069057791,5,2,20,90,50,500,80,3
65,1.8708406131295292,1602.0518285296776,1.8914200878330674,5,2,20,100,50,500,80,3
66,0.8899403102738022,1557.593803852936,1.8685595057616264,5,2,20,100,50,500,80,3
67,2.5705462484426778,1628.9341579261445,1.833424933381783,5,2,20,100,50,500,80,3
